bid,delayTime,epic,expiry,high,instrumentName,instrumentType,lotSize,low,marketStatus,netChange,offer,otcTradeable,percentageChange,scalingFactor,streamingPricesAvailable,updateTime,updateTimeUTC
7116.29,0,CS.D.BITCOIN.CFD.IP,-,7201.2,Bitcoin ($1),CURRENCIES,1,7069.2,TRADEABLE,21.07,7152.29,True,0.3,1,True,-1672000,00:32:08
209.2,0,CS.D.BCHUSD.CFD.IP,-,214.1,Bitcoin Cash ($1),CURRENCIES,1,209.2,TRADEABLE,-1.32,211.2,True,-0.62,1,True,-1673000,00:32:07
0.2917,0,CS.D.BCHXBT.CFD.IP,-,0.3013,Bitcoin Cash/Bitcoin ($1),CURRENCIES,1,0.2913,TRADEABLE,-0.0027,0.2977,True,-0.91,1000,True,-1672000,00:32:08
2123.26,0,CS.D.CRYPTOB10.CFD.IP,-,2182.8,Crypto 10 Index,CURRENCIES,1,2123.3,TRADEABLE,-6.22,2161.26,True,-0.29,1,True,-1671000,00:32:09
2.5547,0,CS.D.EOSUSD.CFD.IP,-,2.653,EOS ($1),CURRENCIES,1,2.553,TRADEABLE,-0.027,2.5947,True,-1.04,100,True,-1672000,00:32:08
146.19,0,CS.D.ETHUSD.CFD.IP,-,149.0,Ether ($1),CURRENCIES,1,146.2,TRADEABLE,-1.21,147.39,True,-0.82,1,True,-1673000,00:32:07
0.02043,0,CS.D.ETHXBT.CFD.IP,-,0.02099,Ether/Bitcoin ($1),CURRENCIES,1,0.02042,TRADEABLE,-0.00023,0.02073,True,-1.11,10000,True,-1672000,00:32:08
46.4,0,CS.D.LTCUSD.CFD.IP,-,47.6,Litecoin ($1),CURRENCIES,1,46.4,TRADEABLE,-0.27,46.8,True,-0.58,1,True,-1674000,00:32:06
9.123,0,CS.D.NEOUSD.CFD.IP,-,9.4,NEO ($1),CURRENCIES,1,9.0,TRADEABLE,0.096,9.323,True,1.05,1,True,-1671000,00:32:09
0.2169,0,CS.D.XRPUSD.CFD.IP,-,0.223,Ripple ($1),CURRENCIES,1,0.217,TRADEABLE,-0.0008,0.2205,True,-0.36,100,True,-1678000,00:32:02
0.0563,0,CS.D.XLMUSD.CFD.IP,-,0.059,Stellar ($1),CURRENCIES,1,0.056,TRADEABLE,0.0001,0.0583,True,0.17,100,True,-1688000,00:31:52
12847.5,0,IX.D.SUNGBPUSD.CFD.IP,-,12875.9,Weekend GBP/USD,CURRENCIES,10,12846.2,EDITS_ONLY,-14.6,12859.5,True,-0.11,1,True,-1669000,00:32:11
0.67878,0,CS.D.AUDUSD.CFD.IP,-,0.67903,AUD/USD,CURRENCIES,10,0.6782,TRADEABLE,1e-05,0.67884,True,0.0,10000,True,-1557000,00:34:03
1.09926,0,CS.D.EURCHF.CFD.IP,-,1.10029,EUR/CHF,CURRENCIES,10,1.09808,TRADEABLE,0.00051,1.09946,True,0.05,10000,True,-1556000,00:34:04
0.85718,0,CS.D.EURGBP.CFD.IP,-,0.85782,EUR/GBP,CURRENCIES,10,0.85596,TRADEABLE,0.00071,0.85738,True,0.08,10000,True,-1552000,00:34:08
120.19,0,CS.D.EURJPY.CFD.IP,-,120.291,EUR/JPY,CURRENCIES,1000,120.107,TRADEABLE,0.026,120.205,True,0.02,100,True,-1551000,00:34:09
1.10179,0,CS.D.EURUSD.CFD.IP,-,1.10268,EUR/USD,CURRENCIES,10,1.10172,TRADEABLE,-0.00026,1.10185,True,-0.02,10000,True,-1552000,00:34:08
1.16638,0,CS.D.GBPEUR.CFD.IP,-,1.16822,GBP/EUR,CURRENCIES,10,1.16577,TRADEABLE,-0.00097,1.16658,True,-0.08,10000,True,-1552000,00:34:08
1.28518,0,CS.D.GBPUSD.CFD.IP,-,1.28765,GBP/USD,CURRENCIES,10,1.285,TRADEABLE,-0.00134,1.28535,True,-0.1,10000,True,-1555000,00:34:05
1.32727,0,CS.D.USDCAD.CFD.IP,-,1.32776,USD/CAD,CURRENCIES,10,1.32671,TRADEABLE,0.00014,1.3274,True,0.01,10000,True,-1554000,00:34:06
0.99768,0,CS.D.USDCHF.CFD.IP,-,0.99808,USD/CHF,CURRENCIES,10,0.99654,TRADEABLE,0.00061,0.99783,True,0.06,10000,True,-1552000,00:34:08
109.088,0,CS.D.USDJPY.CFD.IP,-,109.133,USD/JPY,CURRENCIES,1000,108.993,TRADEABLE,0.043,109.095,True,0.04,100,True,-1552000,00:34:08
0.75158,0,CS.D.CADCHF.CFD.IP,-,0.75233,CAD/CHF,CURRENCIES,10,0.75078,TRADEABLE,0.00041,0.75183,True,0.05,10000,True,-1553000,00:34:07
82.179,0,CS.D.CADJPY.CFD.IP,-,82.242,CAD/JPY,CURRENCIES,1000,82.104,TRADEABLE,0.024,82.199,True,0.03,100,True,-1551000,00:34:09
109.328,0,CS.D.CHFJPY.CFD.IP,-,109.426,CHF/JPY,CURRENCIES,1000,109.26,TRADEABLE,-0.017,109.348,True,-0.02,100,True,-1552000,00:34:08
1.46235,0,CS.D.EURCAD.CFD.IP,-,1.46373,EUR/CAD,CURRENCIES,10,1.46191,TRADEABLE,-0.00023,1.4626,True,-0.02,10000,True,-1552000,00:34:08
1.5036,0,CS.D.EURSGD.CFD.IP,-,1.50461,EUR/SGD,CURRENCIES,10,1.50289,TRADEABLE,0.00039,1.504,True,0.03,10000,True,-1551000,00:34:09
16.28791,0,CS.D.EURZAR.CFD.IP,-,16.36008,EUR/ZAR,CURRENCIES,10,16.27158,TRADEABLE,-0.01337,16.31291,True,-0.08,10000,True,-1551000,00:34:09
1.70584,0,CS.D.GBPCAD.CFD.IP,-,1.70886,GBP/CAD,CURRENCIES,10,1.70528,TRADEABLE,-0.00154,1.70614,True,-0.09,10000,True,-1554000,00:34:06
1.28223,0,CS.D.GBPCHF.CFD.IP,-,1.28408,GBP/CHF,CURRENCIES,10,1.2814,TRADEABLE,-0.0006,1.28253,True,-0.05,10000,True,-1552000,00:34:08
140.196,0,CS.D.GBPJPY.CFD.IP,-,140.406,GBP/JPY,CURRENCIES,1000,140.114,TRADEABLE,-0.091,140.228,True,-0.06,100,True,-1552000,00:34:08
1.75393,0,CS.D.GBPSGD.CFD.IP,-,1.7575,GBP/SGD,CURRENCIES,10,1.75227,TRADEABLE,-0.00091,1.75443,True,-0.05,10000,True,-1554000,00:34:06
18.99877,0,CS.D.GBPZAR.CFD.IP,-,19.09186,GBP/ZAR,CURRENCIES,10,18.98657,TRADEABLE,-0.03065,19.02877,True,-0.16,10000,True,-1551000,00:34:09
5.586,0,CS.D.MXNJPY.CFD.IP,-,5.598,MXN/JPY,CURRENCIES,1000,5.572,TRADEABLE,0.002,5.592,True,0.04,100,True,-1601000,00:33:19
27.901,0,CS.D.PLNJPY.CFD.IP,-,27.967,PLN/JPY,CURRENCIES,1000,27.854,TRADEABLE,0.0,27.931,True,0.0,100,True,-1558000,00:34:02
1.692,0,CS.D.RUBJPY.CFD.IP,-,1.721,RUB/JPY,CURRENCIES,1000,1.691,EDITS_ONLY,0.0,1.717,True,0.0,100,True,60984000,17:56:24
11.372,0,CS.D.SEKJPY.CFD.IP,-,11.388,SEK/JPY,CURRENCIES,1000,11.356,TRADEABLE,0.001,11.378,True,0.01,100,True,-1552000,00:34:08
79.91,0,CS.D.SGDJPY.CFD.IP,-,80.012,SGD/JPY,CURRENCIES,1000,79.881,TRADEABLE,-0.011,79.95,True,-0.01,100,True,-1554000,00:34:06
7.82918,0,CS.D.USDHKD.CFD.IP,-,7.83033,USD/HKD,CURRENCIES,10,7.82687,TRADEABLE,0.00077,7.82968,True,0.01,10000,True,-1553000,00:34:07
1.36468,0,CS.D.USDSGD.CFD.IP,-,1.36502,USD/SGD,CURRENCIES,10,1.36373,TRADEABLE,0.00068,1.36498,True,0.05,10000,True,-1555000,00:34:05
14.78669,0,CS.D.USDZAR.CFD.IP,-,14.82391,USD/ZAR,CURRENCIES,10,14.77627,TRADEABLE,-0.00953,14.79969,True,-0.06,10000,True,-1551000,00:34:09
7.354,0,CS.D.ZARJPY.CFD.IP,-,7.397,ZAR/JPY,CURRENCIES,1000,7.343,TRADEABLE,0.007,7.394,True,0.1,100,True,-1582000,00:33:38
0.90092,0,CS.D.AUDCAD.CFD.IP,-,0.90125,AUD/CAD,CURRENCIES,10,0.89983,TRADEABLE,9e-05,0.90107,True,0.01,10000,True,-1551000,00:34:09
0.67718,0,CS.D.AUDCHF.CFD.IP,-,0.67753,AUD/CHF,CURRENCIES,10,0.67608,TRADEABLE,0.00041,0.67738,True,0.06,10000,True,-1552000,00:34:08
0.616,0,CS.D.AUDEUR.CFD.IP,-,0.61625,AUD/EUR,CURRENCIES,10,0.61515,TRADEABLE,0.00017,0.61615,True,0.03,10000,True,-1553000,00:34:07
0.52799,0,CS.D.AUDGBP.CFD.IP,-,0.52855,AUD/GBP,CURRENCIES,10,0.52659,TRADEABLE,0.00054,0.52829,True,0.1,10000,True,-1551000,00:34:09
74.046,0,CS.D.AUDJPY.CFD.IP,-,74.088,AUD/JPY,CURRENCIES,1000,73.946,TRADEABLE,0.03,74.059,True,0.04,100,True,-1556000,00:34:04
1.05579,0,CS.D.AUDNZD.CFD.IP,-,1.05688,AUD/NZD,CURRENCIES,10,1.05446,TRADEABLE,-0.00012,1.05604,True,-0.01,10000,True,-1552000,00:34:08
0.9263,0,CS.D.AUDSGD.CFD.IP,-,0.92668,AUD/SGD,CURRENCIES,10,0.92505,TRADEABLE,0.00048,0.9266,True,0.05,10000,True,-1551000,00:34:09
1.62309,0,CS.D.EURAUD.CFD.IP,-,1.62547,EUR/AUD,CURRENCIES,10,1.6229,TRADEABLE,-0.00043,1.62327,True,-0.03,10000,True,-1551000,00:34:09
1.71378,0,CS.D.EURNZD.CFD.IP,-,1.71626,EUR/NZD,CURRENCIES,10,1.71334,TRADEABLE,-0.00067,1.71408,True,-0.04,10000,True,-1551000,00:34:09
1.89318,0,CS.D.GBPAUD.CFD.IP,-,1.8973,GBP/AUD,CURRENCIES,10,1.89304,TRADEABLE,-0.00201,1.89368,True,-0.11,10000,True,-1551000,00:34:09
1.99903,0,CS.D.GBPNZD.CFD.IP,-,2.00311,GBP/NZD,CURRENCIES,10,1.99874,TRADEABLE,-0.00228,1.99953,True,-0.11,10000,True,-1551000,00:34:09
0.94687,0,CS.D.NZDAUD.CFD.IP,-,0.94841,NZD/AUD,CURRENCIES,10,0.94618,TRADEABLE,0.00012,0.94722,True,0.01,10000,True,-1552000,00:34:08
0.85311,0,CS.D.NZDCAD.CFD.IP,-,0.85374,NZD/CAD,CURRENCIES,10,0.85237,TRADEABLE,0.00017,0.85346,True,0.02,10000,True,-1552000,00:34:08
0.64122,0,CS.D.NZDCHF.CFD.IP,-,0.6419,NZD/CHF,CURRENCIES,10,0.64011,TRADEABLE,0.00038,0.64162,True,0.06,10000,True,-1551000,00:34:09
0.58336,0,CS.D.NZDEUR.CFD.IP,-,0.58378,NZD/EUR,CURRENCIES,10,0.58264,TRADEABLE,0.00023,0.58356,True,0.04,10000,True,-1552000,00:34:08
0.50003,0,CS.D.NZDGBP.CFD.IP,-,0.50059,NZD/GBP,CURRENCIES,10,0.49873,TRADEABLE,0.00057,0.50033,True,0.11,10000,True,-1551000,00:34:09
70.121,0,CS.D.NZDJPY.CFD.IP,-,70.19,NZD/JPY,CURRENCIES,1000,70.024,TRADEABLE,0.031,70.141,True,0.04,100,True,-1551000,00:34:09
0.64277,0,CS.D.NZDUSD.CFD.IP,-,0.64329,NZD/USD,CURRENCIES,10,0.64236,TRADEABLE,6e-05,0.64295,True,0.01,10000,True,-1555000,00:34:05
15.536,0,CS.D.CNHJPY.CFD.IP,-,15.566,CNH/JPY,CURRENCIES,1000,15.529,TRADEABLE,-0.002,15.554,True,-0.01,100,True,-1556000,00:34:04
25.616,0,CS.D.BRLJPY.CFD.IP,-,25.753,EMFX BRL/JPY,CURRENCIES,1000,25.622,EDITS_ONLY,0.0,25.666,True,0.0,100,True,68398000,19:59:58
92.151,0,CS.D.GBPINR.CFD.IP,-,92.251,EMFX GBP/INR (10 Contract),CURRENCIES,10,92.101,EDITS_ONLY,0.0,92.301,True,0.0,100,True,71999000,20:59:59
1.513,0,CS.D.INRJPY.CFD.IP,-,1.531,EMFX INR/JPY,CURRENCIES,1000,1.516,EDITS_ONLY,0.0,1.528,True,0.0,100,True,71548000,20:52:28
4.24375,0,CS.D.USDBRL.CFD.IP,-,4.249,EMFX USD/BRL ($10 Contract),CURRENCIES,10,4.2188,EDITS_ONLY,0.0,4.24875,True,0.0,10000,True,68398000,19:59:58
14120.0,0,CS.D.USDIDR.CFD.IP,-,14147.0,EMFX USD/IDR ($10 Contract),CURRENCIES,10,14117.0,EDITS_ONLY,0.0,14150.0,True,0.0,1,True,71785000,20:56:25
71.55,0,CS.D.USDINR.CFD.IP,-,71.666,EMFX USD/INR ($10 Contract),CURRENCIES,10,71.516,EDITS_ONLY,0.0,71.7,True,0.0,100,True,71451000,20:50:51
1171.817,0,CS.D.USDKRW.CFD.IP,-,1175.405,EMFX USD/KRW ($10 Contract),CURRENCIES,10,1171.68,EDITS_ONLY,0.0,1173.817,True,0.0,100,True,71999000,20:59:59
50.79,0,CS.D.USDPHP.CFD.IP,-,50.96,EMFX USD/PHP ($10 Contract),CURRENCIES,10,50.76,EDITS_ONLY,0.0,50.94,True,0.0,100,True,71742000,20:55:42
30.437,0,CS.D.USDTWD.CFD.IP,-,30.51,EMFX USD/TWD ($10 Contract),CURRENCIES,10,30.42,EDITS_ONLY,0.0,30.457,True,0.0,1000,True,71970000,20:59:30
305.397,0,CS.D.CHFHUF.CFD.IP,-,306.269,CHF/HUF,CURRENCIES,1000,304.951,TRADEABLE,0.028,305.897,True,0.01,100,True,-1551000,00:34:09
25.4744,0,CS.D.EURCZK.CFD.IP,-,25.5512,EUR/CZK,CURRENCIES,100,25.4658,TRADEABLE,-0.0074,25.5244,True,-0.03,1000,True,-1555000,00:34:05
335.749,0,CS.D.EURHUF.CFD.IP,-,336.707,EUR/HUF,CURRENCIES,1000,335.08,TRADEABLE,0.033,336.249,True,0.01,100,True,-1552000,00:34:08
21.49714,0,CS.D.EURMXN.CFD.IP,-,21.55985,EUR/MXN,CURRENCIES,10,21.47985,TRADEABLE,-0.00491,21.51714,True,-0.02,10000,True,-1551000,00:34:09
4.30338,0,CS.D.EURPLN.CFD.IP,-,4.3118,EUR/PLN,CURRENCIES,10,4.29979,TRADEABLE,0.00124,4.30788,True,0.03,10000,True,-1552000,00:34:08
6.34349,0,CS.D.EURTRY.CFD.IP,-,6.35754,EUR/TRY,CURRENCIES,10,6.33772,TRADEABLE,-0.00499,6.34949,True,-0.08,10000,True,-1552000,00:34:08
29.7203,0,CS.D.GBPCZK.CFD.IP,-,29.8435,GBP/CZK,CURRENCIES,100,29.69,TRADEABLE,-0.0321,29.7703,True,-0.11,1000,True,-1551000,00:34:09
391.713,0,CS.D.GBPHUF.CFD.IP,-,393.028,GBP/HUF,CURRENCIES,1000,391.103,TRADEABLE,-0.049,392.213,True,-0.01,100,True,-1551000,00:34:09
25.073,0,CS.D.GBPMXN.CFD.IP,-,25.1705,GBP/MXN,CURRENCIES,10,25.04374,TRADEABLE,-0.02998,25.098,True,-0.12,10000,True,-1554000,00:34:06
5.02015,0,CS.D.GBPPLN.CFD.IP,-,5.03448,GBP/PLN,CURRENCIES,10,5.01443,TRADEABLE,-0.00264,5.02515,True,-0.05,10000,True,-1551000,00:34:09
7.39988,0,CS.D.GBPTRY.CFD.IP,-,7.42282,GBP/TRY,CURRENCIES,10,7.39167,TRADEABLE,-0.01049,7.40688,True,-0.14,10000,True,-1555000,00:34:05
18.9,0,CS.D.TRYJPY.CFD.IP,-,18.989,TRY/JPY,CURRENCIES,1000,18.882,TRADEABLE,0.018,18.98,True,0.1,100,True,-1551000,00:34:09
23.1254,0,CS.D.USDCZK.CFD.IP,-,23.1949,USD/CZK,CURRENCIES,100,23.0917,TRADEABLE,-0.0019,23.1604,True,-0.01,1000,True,-1551000,00:34:09
304.698,0,CS.D.USDHUF.CFD.IP,-,305.711,USD/HUF,CURRENCIES,1000,303.876,TRADEABLE,0.128,305.198,True,0.04,100,True,-1551000,00:34:09
19.51282,0,CS.D.USDMXN.CFD.IP,-,19.5313,USD/MXN,CURRENCIES,10,19.49552,TRADEABLE,-0.00267,19.52032,True,-0.01,10000,True,-1551000,00:34:09
3.906,0,CS.D.USDPLN.CFD.IP,-,3.91332,USD/PLN,CURRENCIES,10,3.90041,TRADEABLE,0.00186,3.9095,True,0.05,10000,True,-1551000,00:34:09
5.75777,0,CS.D.USDTRY.CFD.IP,-,5.76905,USD/TRY,CURRENCIES,10,5.74198,TRADEABLE,0.00144,5.76277,True,0.03,10000,True,-1553000,00:34:07
6.90632,0,CS.D.CADNOK.CFD.IP,-,6.92758,CAD/NOK,CURRENCIES,10,6.89971,TRADEABLE,0.00066,6.91332,True,0.01,10000,True,-1551000,00:34:09
9.18965,0,CS.D.CHFNOK.CFD.IP,-,9.21931,CHF/NOK,CURRENCIES,10,9.18168,TRADEABLE,-0.00388,9.19565,True,-0.04,10000,True,-1551000,00:34:09
7.47084,0,CS.D.EURDKK.CFD.IP,-,7.47307,EUR/DKK,CURRENCIES,10,7.47002,TRADEABLE,-0.0002,7.47234,True,-0.0,10000,True,-1590000,00:33:30
10.1031,0,CS.D.EURNOK.CFD.IP,-,10.12472,EUR/NOK,CURRENCIES,10,10.09966,TRADEABLE,-0.00069,10.1081,True,-0.01,10000,True,-1551000,00:34:09
10.56439,0,CS.D.EURSEK.CFD.IP,-,10.57925,EUR/SEK,CURRENCIES,10,10.56015,TRADEABLE,-0.00127,10.56939,True,-0.01,10000,True,-1552000,00:34:08
8.71313,0,CS.D.GBPDKK.CFD.IP,-,8.73166,GBP/DKK,CURRENCIES,10,8.70815,TRADEABLE,-0.00679,8.71813,True,-0.08,10000,True,-1551000,00:34:09
11.78388,0,CS.D.GBPNOK.CFD.IP,-,11.82415,GBP/NOK,CURRENCIES,10,11.77808,TRADEABLE,-0.01109,11.79188,True,-0.09,10000,True,-1551000,00:34:09
12.32216,0,CS.D.GBPSEK.CFD.IP,-,12.35017,GBP/SEK,CURRENCIES,10,12.31472,TRADEABLE,-0.01063,12.33016,True,-0.09,10000,True,-1552000,00:34:08
11.889,0,CS.D.NOKJPY.CFD.IP,-,11.914,NOK/JPY,CURRENCIES,1000,11.852,TRADEABLE,0.002,11.899,True,0.02,100,True,-1551000,00:34:09
1.04497,0,CS.D.NOKSEK.CFD.IP,-,1.0481,NOK/SEK,CURRENCIES,10,1.04244,TRADEABLE,5e-05,1.04647,True,0.0,10000,True,-1551000,00:34:09
6.78007,0,CS.D.USDDKK.CFD.IP,-,6.78255,USD/DKK,CURRENCIES,10,6.77594,TRADEABLE,0.00147,6.78207,True,0.02,10000,True,-1552000,00:34:08
9.16877,0,CS.D.USDNOK.CFD.IP,-,9.19272,USD/NOK,CURRENCIES,10,9.16064,TRADEABLE,0.00146,9.17377,True,0.02,10000,True,-1551000,00:34:09
9.58907,0,CS.D.USDSEK.CFD.IP,-,9.6003,USD/SEK,CURRENCIES,10,9.57827,TRADEABLE,0.00166,9.59157,True,0.02,10000,True,-1551000,00:34:09
0.67878,0,CS.D.AUDUSD.MINI.IP,-,0.67903,AUD/USD Mini,CURRENCIES,1,0.6782,TRADEABLE,1e-05,0.67884,True,0.0,10000,True,-1557000,00:34:03
1.09926,0,CS.D.EURCHF.MINI.IP,-,1.10029,EUR/CHF Mini,CURRENCIES,1,1.09808,TRADEABLE,0.00051,1.09946,True,0.05,10000,True,-1556000,00:34:04
0.85718,0,CS.D.EURGBP.MINI.IP,-,0.85782,EUR/GBP Mini,CURRENCIES,1,0.85596,TRADEABLE,0.00071,0.85738,True,0.08,10000,True,-1550000,00:34:10
